,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,underground,price_meter
287,Долгопрудный,12,14,1.0,44.6,8900000.0,2009,36.35070730640222,12.128758683969064,Долгопрудная,199551.56950672646
288,Долгопрудный,1,17,1.0,40.5,7800000.0,2004,22.9,11.0,Долгопрудная,192592.59259259258
289,Долгопрудный,18,23,1.0,34.5,8856464.0,2026,36.35070730640222,12.128758683969064,Хлебниково,256709.10144927536
290,Долгопрудный,10,23,1.0,42.0,9169139.0,2026,36.35070730640222,12.128758683969064,Хлебниково,218312.83333333334
291,Долгопрудный,9,17,1.0,42.3,9250000.0,2009,20.4,9.0,Долгопрудная,218676.1229314421
292,Долгопрудный,4,5,1.0,31.0,6050000.0,1965,19.0,6.0,Водники,195161.29032258064
293,Долгопрудный,5,9,1.0,32.4,6900000.0,1970,17.9,6.0,Долгопрудная,212962.96296296298
294,Долгопрудный,10,19,1.0,46.0,8800000.0,2014,21.0,12.0,Долгопрудная,191304.34782608695
295,Долгопрудный,2,18,1.0,54.2,10600000.0,2004,29.0,15.0,Водники,195571.95571955718
296,Долгопрудный,3,10,1.0,42.2,8300000.0,2004,19.5,9.3,Долгопрудная,196682.4644549763
297,Домодедово,17,22,2.0,60.0,9200000.0,,34.0,11.0,Подольск,153333.33333333334
298,Домодедово,6,15,2.0,56.4,10000000.0,2009,23.0,16.0,Подольск,177304.9645390071
299,Домодедово,10,10,3.0,62.4,9800000.0,,36.35070730640222,8.4,Подольск,157051.28205128206
300,Домодедово,4,4,2.0,48.0,9600000.0,2017,31.0,12.0,Подольск,200000.0
301,Домодедово,8,19,2.0,55.0,10500000.0,2017,35.0,9.0,Подольск,190909.0909090909
302,Домодедово,8,17,1.0,44.4,4400000.0,2025,15.0,11.3,Домодедовская,99099.0990990991
303,Домодедово,15,17,2.0,56.0,8200000.0,,33.7,9.5,Подольск,146428.57142857142
304,Домодедово,2,9,3.0,62.3,8600000.0,,38.0,7.7,Подольск,138041.73354735153
305,Домодедово,3,4,3.0,54.9,7500000.0,1962,38.0,6.0,Подольск,136612.0218579235
306,Домодедово,16,22,3.0,72.8,11400000.0,,42.0,12.0,Подольск,156593.4065934066
307,Домодедово,9,9,3.0,62.4,8000000.0,1995,37.4,8.4,Подольск,128205.1282051282
308,Домодедово,9,9,1.0,35.6,5209579.0,,19.0,8.5,Подольск,146336.48876404495
309,Домодедово,2,5,1.0,30.8,5100000.0,1976,18.0,6.0,Подольск,165584.41558441558
310,Домодедово,5,5,2.0,43.7,6350000.0,,25.0,8.0,Подольск,145308.92448512584
311,Домодедово,1,17,2.0,58.8,7900000.0,2015,36.35070730640222,8.0,Подольск,134353.74149659864
312,Домодедово,12,17,1.0,46.7,6699000.0,2018,21.0,12.0,Подольск,143447.5374732334
313,Домодедово,2,14,2.0,58.7,11450000.0,2009,36.35070730640222,28.0,Подольск,195059.62521294717
314,Домодедово,2,17,1.0,45.0,6300000.0,,20.0,9.0,Подольск,140000.0
315,Домодедово,1,10,1.0,32.6,5200000.0,1983,16.7,7.6,Домодедово,159509.20245398773
316,Домодедово,14,17,2.0,38.0,6300000.0,2017,16.0,6.0,Подольск,165789.47368421053
